nb, T_part1, T_part2, T_part3
1000003,0.0040000000,0.0020000000,0.0000000000
2000003,0.0100000000,0.0060000000,0.0000000000
4000037,0.0220000000,0.0080000000,0.0010000000
8000009,0.0420000000,0.0210000000,0.0000000000
16000057,0.0830000000,0.0370000000,0.0000000000
32000011,0.1560000000,0.0720000000,0.0000000000
64000031,0.3030000000,0.1620000000,0.0010000000
128000003,0.6340000000,0.3150000000,0.0000000000
256000001,1.2160000000,0.6260000000,0.0000000000
512000009,2.4150000000,1.2280000000,0.0010000000
1024000009,4.8100000000,2.4780000000,0.0000000000
2048000011,9.6360000000,5.0000000000,0.0010000000